YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,EMISSIONS,COMB (km/L),CITY (km/L),HWY (km/L)
2000,CHEVROLET,BLAZER 4X4,SUV - STANDARD,4.3,6,M5,X,343,6.7114093959731544,5.91715976331361,8.064516129032258
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,324,7.092198581560284,6.289308176100628,8.403361344537815
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,338,6.802721088435375,5.9880239520958085,8.130081300813007
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,292,7.874015748031496,6.8493150684931505,9.615384615384615
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,331,6.944444444444445,5.847953216374268,9.090909090909092
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,301,7.633587786259542,6.666666666666667,9.25925925925926
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,329,6.9930069930069925,6.211180124223602,8.333333333333334
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,6.0,8,A4,X,386,5.9523809523809526,5.154639175257732,7.352941176470589
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,235,9.803921568627452,8.064516129032258,13.333333333333334
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,228,10.1010101010101,8.196721311475411,14.084507042253522
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,269,8.547008547008547,7.246376811594202,10.989010989010989
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,248,9.25925925925926,7.633587786259542,12.345679012345679
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,A4,X,200,11.49425287356322,9.803921568627452,14.492753623188404
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,M5,X,205,11.235955056179774,9.25925925925926,15.384615384615385
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,A4,X,216,10.638297872340425,9.090909090909092,13.513513513513512
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,M5,X,202,11.363636363636363,9.345794392523365,15.384615384615385
2000,CHEVROLET,CAVALIER BIFUEL,SUBCOMPACT,2.2,4,A3,X,209,10.989010989010989,9.615384615384615,13.333333333333334
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,A4,Z,269,8.547008547008547,7.194244604316546,10.989010989010989
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,M6,Z,244,9.433962264150944,7.8125,12.658227848101266
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,4.3,6,A4,X,327,7.042253521126761,6.25,8.403361344537815
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.0,8,A4,X,329,6.9930069930069925,6.097560975609756,8.47457627118644
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.7,8,A4,X,352,6.5359477124183005,5.74712643678161,7.874015748031496
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,4.3,6,A4,X,336,6.8493150684931505,6.0606060606060606,8.196721311475411
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.0,8,A4,X,338,6.802721088435375,5.9880239520958085,8.130081300813007
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.7,8,A4,X,377,6.097560975609756,5.347593582887701,7.352941176470589
2000,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,228,10.1010101010101,8.264462809917356,13.88888888888889
2000,CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,228,10.1010101010101,8.333333333333334,13.513513513513512
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,308,7.462686567164179,6.5359477124183005,9.00900900900901
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,343,6.7114093959731544,5.91715976331361,8.064516129032258
